symbol,forward_return_prob,forward_return_score
GHCLTEXTIL,0.4333,43.3
GICHSGFIN,0.4002,40.0
GICL,0.5724,57.2
GICRE,0.3754,37.5
GILLANDERS,0.347,34.7
GILLETTE,0.4884,48.8
GILT10BETA,0.4253,42.5
GILT5BETA,0.3163,31.6
GILT5YBEES,0.1337,13.4
GINNIFILA,0.641,64.1
GIPCL,0.3956,39.6
GKENERGY,0.5162,51.6
GKSL,0.5929,59.3
GKWLIMITED,0.3887,38.9
GLAND,0.5091,50.9
GLAXO,0.4617,46.2
GLENMARK,0.4815,48.2
GLFL,0.2089,20.9
GLOBAL,0.4795,48.0
GLOBALE,0.4123,41.2
GLOBALVECT,0.4451,44.5
GLOBE,0.2165,21.6
GLOBECIVIL,0.442,44.2
GLOBUSSPR,0.4702,47.0
GLOSTERLTD,0.4896,49.0
GLOTTIS,0.2837,28.4
GMBREW,0.5035,50.3
GMDCLTD,0.4545,45.5
GMMPFAUDLR,0.5924,59.2
GMRAIRPORT,0.4533,45.3
GMRP&UI,0.2548,25.5
GNA,0.4693,46.9
GNFC,0.5322,53.2
GNRL,0.5628,56.3
GOACARBON,0.4448,44.5
GOCLCORP,0.42,42.0
GOCOLORS,0.2401,24.0
GODAVARIB,0.4219,42.2
