Date,Sector,Open,High,Low,Close,Volume,Daily_Change
2023-07-31,NIFTY BANK,45546.3515625,45694.8984375,45359.75,45651.1015625,247900,0.23
2023-08-01,NIFTY BANK,45740.0,45782.75,45471.05078125,45592.5,175200,-0.32
2023-08-02,NIFTY BANK,45234.6484375,45404.8984375,44720.8984375,44995.69921875,233600,-0.53
2023-08-03,NIFTY BANK,44862.8515625,45038.44921875,44279.3984375,44513.44921875,245800,-0.78
2023-08-04,NIFTY BANK,44754.75,45118.05078125,44520.55078125,44879.5,245200,0.28
2023-08-07,NIFTY BANK,44993.69921875,45011.3515625,44773.8515625,44837.5,200800,-0.35
2023-08-08,NIFTY BANK,44888.94921875,45096.8515625,44817.8515625,44964.44921875,229400,0.17
2023-08-09,NIFTY BANK,44973.44921875,44975.0,44533.75,44880.69921875,177300,-0.21
2023-08-10,NIFTY BANK,44797.6484375,44980.3515625,44418.3984375,44541.80078125,232000,-0.57
2023-08-11,NIFTY BANK,44568.1484375,44571.25,44120.8984375,44199.1015625,196900,-0.83
2023-08-14,NIFTY BANK,44066.6015625,44212.75,43776.8984375,44090.94921875,172300,0.06
2023-08-16,NIFTY BANK,43726.25,44002.80078125,43600.3515625,43946.3984375,0,0.5
2023-08-17,NIFTY BANK,43897.25,44071.8515625,43745.1015625,43891.3515625,266400,-0.01
2023-08-18,NIFTY BANK,43724.75,43957.6484375,43672.44921875,43851.05078125,167600,0.29
2023-08-21,NIFTY BANK,43952.8515625,44113.80078125,43862.0,44002.0,126300,0.11
2023-08-22,NIFTY BANK,44125.0,44151.30078125,43938.69921875,43993.25,160700,-0.3
2023-08-23,NIFTY BANK,44064.5,44521.6484375,43952.05078125,44479.05078125,212400,0.94
2023-08-24,NIFTY BANK,44704.19921875,44949.8984375,44433.75,44496.19921875,220400,-0.47
2023-08-25,NIFTY BANK,44276.19921875,44359.1015625,43983.75,44231.44921875,152500,-0.1
2023-08-28,NIFTY BANK,44253.6484375,44610.3984375,44201.44921875,44494.6484375,163000,0.54
2023-08-29,NIFTY BANK,44655.75,44673.0,44429.80078125,44495.25,140300,-0.36
2023-08-30,NIFTY BANK,44706.55078125,44779.6484375,44149.80078125,44232.6015625,153100,-1.06
2023-08-31,NIFTY BANK,44265.8515625,44399.6484375,43895.05078125,43989.1484375,705100,-0.63
2023-09-01,NIFTY BANK,43996.1015625,44568.55078125,43830.75,44436.1015625,320800,1.0
2023-09-04,NIFTY BANK,44647.6484375,44656.05078125,44310.94921875,44578.30078125,238600,-0.16
2023-09-05,NIFTY BANK,44625.05078125,44668.69921875,44401.69921875,44532.1484375,225500,-0.21
2023-09-06,NIFTY BANK,44494.6484375,44577.0,44207.25,44409.1015625,252000,-0.19
2023-09-07,NIFTY BANK,44418.05078125,44915.55078125,44341.19921875,44878.3515625,169100,1.04
2023-09-08,NIFTY BANK,44953.6484375,45383.3515625,44812.1484375,45156.3984375,179100,0.45
2023-09-11,NIFTY BANK,45340.80078125,45636.19921875,45231.30078125,45570.69921875,228100,0.51
2023-09-12,NIFTY BANK,45893.80078125,45893.80078125,45322.55078125,45511.3515625,271400,-0.83
2023-09-13,NIFTY BANK,45449.3515625,45990.5,45299.3984375,45909.44921875,441700,1.01
2023-09-14,NIFTY BANK,46013.30078125,46153.8984375,45801.5,46000.8515625,238600,-0.03
2023-09-15,NIFTY BANK,46122.1484375,46310.3984375,46028.75,46231.5,278400,0.24
2023-09-18,NIFTY BANK,46100.94921875,46252.94921875,45906.8984375,45979.8515625,348800,-0.26
2023-09-20,NIFTY BANK,45493.69921875,45745.1484375,45276.3984375,45384.6015625,334000,-0.24
2023-09-21,NIFTY BANK,45179.6015625,45276.80078125,44592.44921875,44623.8515625,257700,-1.23
2023-09-22,NIFTY BANK,44707.3515625,44996.75,44548.8984375,44612.05078125,249400,-0.21
2023-09-25,NIFTY BANK,44615.0,44936.55078125,44400.8984375,44766.1015625,266500,0.34
2023-09-26,NIFTY BANK,44722.5,44773.80078125,44532.44921875,44624.19921875,188500,-0.22
2023-09-27,NIFTY BANK,44465.8984375,44668.0,44182.5,44588.30078125,221900,0.28
2023-09-28,NIFTY BANK,44700.3515625,44756.80078125,44248.19921875,44300.94921875,389900,-0.89
2023-09-29,NIFTY BANK,44445.3515625,44755.05078125,44344.8984375,44584.55078125,156000,0.31
2023-10-03,NIFTY BANK,44561.5,44566.30078125,44243.1015625,44399.05078125,192600,-0.36
2023-10-04,NIFTY BANK,44108.1484375,44161.3515625,43857.5,43964.05078125,310300,-0.33
2023-10-05,NIFTY BANK,44181.3515625,44391.8515625,44108.30078125,44213.3515625,243400,0.07
2023-10-06,NIFTY BANK,44395.3984375,44500.69921875,44242.94921875,44360.6015625,157500,-0.08
2023-10-09,NIFTY BANK,44057.80078125,44113.19921875,43796.75,43886.5,162300,-0.39
2023-10-10,NIFTY BANK,44027.55078125,44487.25,44004.55078125,44360.1484375,175300,0.76
2023-10-11,NIFTY BANK,44554.8984375,44710.55078125,44411.3984375,44516.8984375,213700,-0.09
